hacer (futuro perfecto)	yo habré hecho<br>tú habrás hecho<br>él, ella, Ud. habrá hecho<br>nosotros habremos hecho<br>vosotros habréis hecho<br>ellos, ellas, Uds. habrán hecho<br>vos habrás hecho	futuro perfecto
hacer (condicional perfecto)	yo habría hecho<br>tú habrías hecho<br>él, ella, Ud. habría hecho<br>nosotros habríamos hecho<br>vosotros habríais hecho<br>ellos, ellas, Uds. habrían hecho<br>vos habrías hecho	condicional perfecto
hacer (subjuntivo presente)	yo haga<br>tú hagas<br>él, ella, Ud. haga<br>nosotros hagamos<br>vosotros hagáis<br>ellos, ellas, Uds. hagan<br>vos hagas, *hagás	subjuntivo presente
hacer (subjuntivo imperfecto)	yo hiciera o hiciese<br>tú hicieras o hicieses<br>él, ella, Ud. hiciera o hiciese<br>nosotros hiciéramos o hiciésemos<br>vosotros hicierais o hicieseis<br>ellos, ellas, Uds. hicieran o hiciesen<br>vos hicieras o hicieses	subjuntivo imperfecto
hacer (subjuntivo futuro)	yo hiciere<br>tú hicieres<br>él, ella, Ud. hiciere<br>nosotros hiciéremos<br>vosotros hiciereis<br>ellos, ellas, Uds. hicieren<br>vos hicieres	subjuntivo futuro
hacer (subjuntivo pretérito perfecto)	yo haya hecho<br>tú hayas hecho<br>él, ella, Ud. haya hecho<br>nosotros hayamos hecho<br>vosotros hayáis hecho<br>ellos, ellas, Uds. hayan hecho<br>vos hayas hecho	subjuntivo pretérito perfecto
hacer (subjuntivo pluscuamperfecto)	yo hubiera o hubiese hecho<br>tú hubieras o hubieses hecho<br>él, ella, Ud. hubiera o hubiese hecho<br>nosotros hubiéramos o hubiésemos hecho<br>vosotros hubierais o hubieseis hecho<br>ellos, ellas, Uds. hubieran o hubiesen hecho<br>vos hubieras o hubieses hecho	subjuntivo pluscuamperfecto
hacer (subjuntivo futuro perfecto)	yo hubiere hecho<br>tú hubieres hecho<br>él, ella, Ud. hubiere hecho<br>nosotros hubiéremos hecho<br>vosotros hubiereis hecho<br>ellos, ellas, Uds. hubieren hecho<br>vos hubieres hecho	subjuntivo futuro perfecto
hacer (imperativo afirmativo)	yo –<br>tú ¡haz!<br>él, ella, Ud. ¡haga!<br>nosotros ¡hagamos!<br>vosotros ¡haced!<br>ellos, ellas, Uds. ¡hagan!<br>vos ¡hacé!	imperativo afirmativo
hacer (imperativo negativo)	yo –<br>tú ¡no hagas!<br>él, ella, Ud. ¡no haga!<br>nosotros ¡no hagamos!<br>vosotros ¡no hagáis!<br>ellos, ellas, Uds. ¡no hagan!<br>vos ¡no hagas, *hagás!	imperativo negativo
poder (presente)	yo puedo<br>tú puedes<br>él, ella, Ud. puede<br>nosotros podemos<br>vosotros podéis<br>ellos, ellas, Uds. pueden<br>vos podés	presente
